yearpublished,average
2017,7.4025
2014,7.57562
2005,6.7296
2002,7.048889999999999
1982,5.73905
2021,7.5094899999999996
2004,5.99008
2018,7.47434
2019,7.49412
2016,6.60655
2014,7.36315
2009,7.979419999999999
2008,6.73384
2008,6.44447
2011,6.0027800000000004
2017,7.825480000000001
2016,7.04375
2013,6.77347
2008,6.908110000000001
2020,7.00943
2008,6.827489999999999
2020,8.616019999999999
2005,6.6327
1925,7.46055
2019,7.41224
2016,4.2457
2012,6.69712
2019,7.181610000000001
2015,7.244730000000001
2014,7.18997
2015,7.797510000000001
1997,6.565339999999999
2002,6.33766
1974,6.51176
2010,7.24488
2010,7.08171
2008,6.909730000000001
2013,7.43094
2018,7.815739999999999
2011,6.96604
2010,7.37069
1982,6.9513
2004,6.87367
2009,6.867310000000001
2018,7.15428
2017,7.03632
2019,7.64567
2010,6.689430000000001
2010,6.81429
2019,7.18337
2010,7.25828
1994,6.64277
2001,7.24907
2020,8.070780000000001
2011,6.45723
1983,6.61298
2019,7.77043
2021,8.50843
2018,8.14283
1965,6.22008
1960,6.681839999999999
2015,7.02757
1986,6.962689999999999
2016,7.81147
2021,8.45626
2005,5.8707
2017,7.584919999999999
1977,6.637010000000001
2018,6.74897
2012,7.04559
2017,7.5327399999999995
2019,7.119510000000001
2015,7.4228
2010,8.00797
2015,6.76863
1973,6.14825
2017,6.94827
2011,6.63215
1963,4.1218900000000005
1990,7.02217
2018,7.462610000000001
2011,6.12568
2004,6.08204
2017,7.46195
1971,6.914569999999999
2018,7.5198100000000005
2009,7.114669999999999
2008,7.124
2019,7.66915
2020,7.527660000000001
1975,5.99153
2017,6.848660000000001
2017,7.18045
2017,7.46565
2017,6.63963
2003,6.83365
2007,6.39412
2018,7.296410000000001
2021,8.00854
2020,7.64543
1956,5.7857199999999995
2017,8.42706
2018,6.6832899999999995
1999,6.52815
2015,6.79168
2019,7.6799
2015,7.10464
2007,6.15269
2017,7.46093
2014,7.5203
2017,6.9523
2013,7.690510000000001
2010,6.686260000000001
1977,6.955430000000001
2017,6.98367
2006,6.47166
2016,7.11713
2008,7.43739
2004,6.64122
2017,7.0899
2010,7.00718
2018,7.239739999999999
2010,5.18728
2005,5.87061
2002,5.59746
2009,6.632999999999999
2002,6.09221
1985,6.7303
1975,4.84662
2016,6.722569999999999
1999,6.89698
2014,7.28187
2005,6.51386
2019,7.2568399999999995
2018,7.38322
1988,7.14335
2007,6.3747
2014,7.13144
2017,7.71787
2011,7.33863
1906,6.41143
2019,7.46568
2005,5.23873
2015,7.352239999999999
1982,6.1893
2013,6.7379
2017,7.03797
1959,4.74256
1998,7.1254100000000005
1990,5.79058
2011,7.18461
2018,6.51613
2009,6.65401
2003,6.10618
2020,7.316389999999999
1989,6.22732
2003,6.11951
1981,5.717569999999999
1994,6.3716800000000005
2011,7.21064
1998,6.6245199999999995
2015,6.28062
2004,6.5301599999999995
2019,7.6607899999999995
2016,6.56283
2004,7.56066
2014,7.58143
1996,6.00661
2010,7.04099
2017,7.269819999999999
2015,6.95061
2011,6.91495
